Date,Open,High,Low,Close,Adj Close,Volume,SMA2,SMA5,SMA10,SMA25,SMA50,SMA90,SMA120,SMA180,EWMA,middle_band,upper_band,lower_band
2012-05-18,42.04999923706055,45.0,38.0,38.22999954223633,38.22999954223633,573576400,,,,,,,,,,,,
2012-05-21,36.529998779296875,36.65999984741211,33.0,34.029998779296875,34.029998779296875,168192700,36.1299991607666,,,,,,,,,,,
2012-05-22,32.61000061035156,33.59000015258789,30.940000534057617,31.0,31.0,101786600,32.51499938964844,,,,,,,,,,,
2012-05-23,31.3700008392334,32.5,31.360000610351562,32.0,32.0,73600000,31.5,,,,,,,,,,,
2012-05-24,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,33.029998779296875,50237200,32.51499938964844,33.657999420166014,,,,,,,,,,
2012-05-25,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.90999984741211,37149800,32.46999931335449,32.39399948120117,,,,,,,,,,
2012-05-29,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.84000015258789,78063400,30.375,31.355999755859376,,,,,,,,,,
2012-05-30,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.190000534057617,57267900,28.515000343322754,30.793999862670898,,,,,,,,,,
2012-05-31,28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,29.600000381469727,111639200,28.895000457763672,30.313999938964844,,,,,,,,,,
2012-06-01,28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,27.719999313354492,41855500,28.65999984741211,29.252000045776366,31.454999732971192,,,,,,,,,
2012-06-04,27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,26.899999618530273,35230300,27.309999465942383,28.25,30.321999740600585,,,,,,,,,
2012-06-05,26.700000762939453,27.760000228881836,25.75,25.8700008392334,25.8700008392334,42473400,26.385000228881836,27.6560001373291,29.505999946594237,,,,,,,,,
2012-06-06,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,26.809999465942383,61489200,26.34000015258789,27.379999923706055,29.086999893188477,,,,,,,,,
2012-06-07,27.0,27.350000381469727,26.149999618530273,26.309999465942383,26.309999465942383,26159500,26.559999465942383,26.721999740600587,28.517999839782714,,,,,,,,,
2012-06-08,26.549999237060547,27.760000228881836,26.440000534057617,27.100000381469727,27.100000381469727,38034000,26.704999923706055,26.59799995422363,27.925,,,,,,,,,
2012-06-11,27.18000030517578,28.06999969482422,26.84000015258789,27.010000228881836,27.010000228881836,28219600,27.05500030517578,26.620000076293945,27.435000038146974,,,,,,,,,
2012-06-12,27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530273,27.399999618530273,15816800,27.204999923706055,26.92599983215332,27.290999984741212,,,,,,,,,
2012-06-13,27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,27.270000457763672,17102800,27.335000038146973,27.018000030517577,27.198999977111818,,,,,,,,,
2012-06-14,27.649999618530273,28.31999969482422,27.3799991607666,28.290000915527344,28.290000915527344,16855000,27.780000686645508,27.41400032043457,27.068000030517577,,,,,,,,,
2012-06-15,28.510000228881836,30.100000381469727,28.350000381469727,30.010000228881836,30.010000228881836,43563800,29.15000057220459,27.996000289916992,27.297000122070312,,,,,,29.516674464747965,29.375999927520752,35.68291591310394,23.069083941937564
2012-06-18,29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,31.40999984741211,42978900,30.710000038146973,28.876000213623048,27.748000144958496,,,,,,30.936668501746393,29.034999942779542,33.89861080928142,24.171389076277663
2012-06-19,31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,31.90999984741211,30849000,31.65999984741211,29.778000259399413,28.352000045776368,,,,,,31.66666701099572,28.928999996185304,33.41173334796159,24.446266644409025
2012-06-20,31.920000076293945,31.93000030517578,31.149999618530273,31.600000381469727,31.600000381469727,15553600,31.755000114440918,30.644000244140624,28.831000137329102,,,,,,31.616667038851226,28.959000015258788,33.50763703400248,24.410362996515097
2012-06-21,31.670000076293945,32.5,31.510000228881836,31.84000015258789,31.84000015258789,21875300,31.72000026702881,31.354000091552734,29.38400020599365,,,,,,31.784166874153723,28.951000022888184,33.47762697311321,24.42437307266316
2012-06-22,32.40999984741211,33.45000076293945,32.060001373291016,33.04999923706055,33.04999923706055,74834000,32.44499969482422,31.961999893188477,29.979000091552734,29.893199920654297,,,,,32.73354114633384,28.952000045776366,33.48242848021547,24.421571611337264
2012-06-25,32.86000061035156,33.02000045776367,31.549999237060547,32.060001373291016,32.060001373291016,24352900,32.55500030517578,32.09200019836426,30.484000205993652,29.646399993896484,,,,,32.22838631655172,28.959500122070313,33.51099491297942,24.408005331161206
2012-06-26,32.689998626708984,33.439998626708984,32.5,33.099998474121094,33.099998474121094,24858700,32.579999923706055,32.329999923706055,31.054000091552734,29.609199981689454,,,,,32.882095434728754,29.17250003814697,34.08485963894985,24.260140437344088
2012-06-27,32.459999084472656,32.900001525878906,31.899999618530273,32.22999954223633,32.22999954223633,28568000,32.66499900817871,32.455999755859374,31.55,29.658399963378905,,,,,32.39302351535944,29.374499988555907,34.44641405408991,24.302585923021905
2012-06-28,31.959999084472656,32.189998626708984,30.899999618530273,31.360000610351562,31.360000610351562,17713300,31.795000076293945,32.35999984741211,31.856999969482423,29.632799987792968,,,,,31.618256336603533,29.4625,34.61137756026662,24.313622439733383
2012-06-29,31.920000076293945,31.989999771118164,30.760000228881836,31.100000381469727,31.100000381469727,19526900,31.230000495910645,31.970000076293946,31.96599998474121,29.555600051879882,,,,,31.229564370253176,29.631500053405762,34.76140913469226,24.50159097211927
2012-07-02,31.25,31.729999542236328,30.549999237060547,30.770000457763672,30.770000457763672,14122000,30.9350004196167,31.711999893188477,31.90200004577637,29.510000076293945,,,,,30.88489143588605,29.825000095367432,34.811024507577315,24.838975683157546
2012-07-03,30.90999984741211,31.440000534057617,30.799999237060547,31.200000762939453,31.200000762939453,8763600,30.985000610351562,31.33200035095215,31.831000137329102,29.60440010070801,,,,,31.121223431176105,30.091500091552735,34.74621473816176,25.43678544494371
2012-07-05,31.31999969482422,31.6299991607666,31.020000457763672,31.469999313354492,31.469999313354492,10032100,31.335000038146973,31.18000030517578,31.818000030517577,29.73560005187988,,,,,31.382805342809895,30.32450008392334,34.74839415128019,25.900606016566492
2012-07-06,31.440000534057617,31.899999618530273,31.260000228881836,31.729999542236328,31.729999542236328,10945600,31.59999942779541,31.254000091552733,31.806999969482423,29.820800018310546,,,,,31.64320099237972,30.59550008773804,34.63091899615319,26.560081179322886
2012-07-09,32.099998474121094,32.880001068115234,31.989999771118164,32.16999816894531,32.16999816894531,17785200,31.94999885559082,31.46799964904785,31.7189998626709,29.99879997253418,,,,,32.03829887480392,30.848999977111816,34.585791720201975,27.112208234021658
